URL,Telephone_x,Twitter,YouTube,Facebook,LinkedIn,Instagram,Tiktok,Email,Name,Category,Address,Telephone_y,Website,email,Detail_URL
https://auroradairies.com.au/,+61 3 8613 1111,,,,,,,office@auroradairies.com.au,Aurora Dairies Pty Ltd,Dairy farm,17/140 William St,(03) 8613 1111,https://auroradairies.com.au/,,https://www.google.com/maps/place/Aurora+Dairies+Pty+Ltd/data=!4m7!3m6!1s0x27afbb686c7b89:0x8800c02c2e6efab6!8m2!3d-37.8159605!4d144.9587447!16s%2Fg%2F1q62m_1jc!19sChIJiXtsaLuvJwARtvpuLizAAIg?authuser=0&hl=en&rclk=1
http://www.mosspark.com.au/,,,,,,,,asxvmprobertest@gmail.com,Moss Park Farm St Andrews,Livestock breeder,Jacksons Rd,,http://www.mosspark.com.au/,,https://www.google.com/maps/place/Moss+Park+Farm+St+Andrews/data=!4m7!3m6!1s0x6ad7cd78120dda43:0x3daf3ccbc8287546!8m2!3d-37.5664565!4d145.2767456!16s%2Fg%2F11sjmms2tz!19sChIJQ9oNEnjN12oRRnUoyMs8rz0?authuser=0&hl=en&rclk=1
https://www.casaccioeggfarms.com.au/,(630) 260-0606;+61 3 9741 0185;+55 11 94737;+39 0874 712042;+39 0825 191 0828;+39 333 935 7445;+39 095 447977;+39 049 504831;+39 0824 041170;+1 630;+54 11 4642;+39 095 094 0375;+54 11 4642-3501,,,,,,,robert@broofa.com,Casaccio Egg Farm,Poultry farm,170-198 Bulban Rd,(03) 9741 0185,https://www.casaccioeggfarms.com.au/,,https://www.google.com/maps/place/Casaccio+Egg+Farm/data=!4m7!3m6!1s0x6ad684dcbb700c51:0x118d2d3c86a4e4d7!8m2!3d-37.9119181!4d144.6270154!16s%2Fg%2F1td_hd25!19sChIJUQxwu9yE1moR1-SkhjwtjRE?authuser=0&hl=en&rclk=1
http://www.animalland.com.au/,,,https://www.youtube.com/@Animal_Land,https://www.facebook.com/animalland/,,https://www.instagram.com/animal_land_childrens_farm/?hl=en,,example@yourmemail.com,Animal Land Children's Farm,Farm,200 Duncans Ln,(03) 9740 0750,http://www.animalland.com.au/,,https://www.google.com/maps/place/Animal+Land+Children%27s+Farm/data=!4m7!3m6!1s0x6ad6f7a6b1c69df7:0xa422d58549b2cc8d!8m2!3d-37.6298244!4d144.7463124!16s%2Fg%2F1v94069v!19sChIJ953Gsab31moRjcyySYXVIqQ?authuser=0&hl=en&rclk=1
http://www.fishfarm.com.au/,036-5516-6104;076-4753-8303;700-8487-6366;635-8505-3391,,,https://www.facebook.com/australianrainbowtroutfarm/,,,,troutfarm@bigpond.com,Australian Rainbow Trout Farm,Fish farm,26 Mulhalls Rd,(03) 5968 4711,http://www.fishfarm.com.au/,,https://www.google.com/maps/place/Australian+Rainbow+Trout+Farm/data=!4m7!3m6!1s0x6ad627a909520d7b:0x891f8a1a9dcd99f6!8m2!3d-37.88182!4d145.454471!16s%2Fg%2F1tfcc9n3!19sChIJew1SCakn1moR9pnNnRqKH4k?authuser=0&hl=en&rclk=1
http://www.animalland.com.au/,,,,,,,,fun@animalland.com.au,Animal Land Children's Farm,Farm,200 Duncans Ln,(03) 9740 0750,http://www.animalland.com.au/,,https://www.google.com/maps/place/Animal+Land+Children%27s+Farm/data=!4m7!3m6!1s0x6ad6f7a6b1c69df7:0xa422d58549b2cc8d!8m2!3d-37.6298244!4d144.7463124!16s%2Fg%2F1v94069v!19sChIJ953Gsab31moRjcyySYXVIqQ?authuser=0&hl=en&rclk=1
https://rosemaintenance.com.au/,,,,,,,,gavin@greenvalerosefarm.com.au,Greenvale Rose Farm,Plant nursery,,0412 881 124,https://rosemaintenance.com.au/,,https://www.google.com/maps/place/Greenvale+Rose+Farm/data=!4m7!3m6!1s0x6ad65a0bfff2afe9:0xb4de509b73c3ed95!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F1v5k34l4!19sChIJ6a_y_wta1moRle3Dc5tQ3rQ?authuser=0&hl=en&rclk=1
https://rosemaintenance.com.au/,,,,,,,,gavin@rosemaintenance.com.au,Greenvale Rose Farm,Plant nursery,,0412 881 124,https://rosemaintenance.com.au/,,https://www.google.com/maps/place/Greenvale+Rose+Farm/data=!4m7!3m6!1s0x6ad65a0bfff2afe9:0xb4de509b73c3ed95!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F1v5k34l4!19sChIJ6a_y_wta1moRle3Dc5tQ3rQ?authuser=0&hl=en&rclk=1
http://emilyhillfarm.com.au/,,,,https://www.facebook.com/emilyhillfarm/,,,,info@emilyhillfarm.com.au,Emily Hill Farm,Farm,770 Bourkes Creek Rd,,http://emilyhillfarm.com.au/,,https://www.google.com/maps/place/Emily+Hill+Farm/data=!4m7!3m6!1s0x6ad6205d319e9b07:0xd8ccd78c5d56c04b!8m2!3d-37.9738421!4d145.4671298!16s%2Fg%2F1tf1bwwh!19sChIJB5ueMV0g1moRS8BWXYzXzNg?authuser=0&hl=en&rclk=1
http://www.fishfarm.com.au/,728-4476-4641,,,,,,,Kamal.Singh@team.telstra.com,Australian Rainbow Trout Farm,Fish farm,26 Mulhalls Rd,(03) 5968 4711,http://www.fishfarm.com.au/,,https://www.google.com/maps/place/Australian+Rainbow+Trout+Farm/data=!4m7!3m6!1s0x6ad627a909520d7b:0x891f8a1a9dcd99f6!8m2!3d-37.88182!4d145.454471!16s%2Fg%2F1tfcc9n3!19sChIJew1SCakn1moR9pnNnRqKH4k?authuser=0&hl=en&rclk=1
